"ID","obs_bl_median","year_count","start_year","end_year","obs_count_2024","storage_long_term_mean","storage_long_term_mean_smooth","storage_long_term_median","storage_long_term_sd","storage_2024_mean","storage_2024_mean_smooth","storage_2024_median","storage_2024_sd","storage_anomaly_volume","storage_anomaly_volume_smooth","storage_anomaly_percent","storage_anomaly_percent_smooth","lake_name","country_name","basin_id","basin_name","altimetry","latitude","longitude","HYBAS_ID","Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat"
510,5,32,"1993","2024",4,1135.45307597964,1144.28209680272,1142.67150878906,92.2794416715041,1068.4430847168,1081.38656616211,1052.39059448242,172.923930580683,-67.0099912628414,-62.8955306406096,-5.90160814924271,-5.49650569700849,"","Canada","7030022240","Saskatchewan - Nelson","ICESat2",55.4853477478027,-96.544792175293,7020021430,510,NA,"Canada","North America","CanVec",1,0,141.53,557.19,13.21,1144.13,0,3,8.1,10.227,1294.8,184,1.48,1813,-96.544792,55.485349
533,5,32,"1993","2024",6,1915.41385591947,1933.69842230523,1935.90954589844,71.1472073307458,1970.6953125,1971.95104980469,1983.20404052734,23.6048821090582,55.2814565805288,38.2526274994536,2.88613640387349,1.97821061744733,"","Canada","7030022240","Saskatchewan - Nelson","ICESat2",54.9348602294922,-103.022354125977,7020021430,533,NA,"Canada","North America","CanVec",1,0,114.23,343.88,9.08,1976.95,0,3,17.3,0.325,70404.1,310,3.03,419.4,-103.022351,54.934861
542,5,32,"1993","2024",9,629.197059461806,635.675745307075,656.213928222656,94.8454255956164,637.215254041884,651.255099826389,645.497985839844,110.1518401221,8.0181945800781,15.5793545193143,1.27435347312917,2.45083356323252,"","Canada","7030022240","Saskatchewan - Nelson","ICESat2",54.8018112182617,-97.3347091674805,7020021430,542,NA,"Canada","North America","CanVec",1,0,177.62,621.83,13.16,639.33,0,3,3.6,4.404,1680.2,205,0.7,2184.8,-97.334706,54.801811
564,5,32,"1993","2024",6,903.849874677449,909.521503977532,909.360900878906,52.6054238903256,893.003885904948,889.663513183594,889.663513183594,8.18220871802976,-10.8459887725014,-19.8579907939381,-1.1999767966303,-2.18334483649863,"Kiskitto","Canada","7030022240","Saskatchewan - Nelson","ICESat2",54.3305931091309,-98.3187484741211,7020021430,564,"Kiskitto","Canada","North America","CanVec",1,0,174.68,138.98,2.97,901.1,0,3,5.2,1.028,10145.4,210,0.95,923.8,-98.31875,54.330592
570,5,32,"1993","2024",3,2511.15075683594,2528.56827677103,2531.05102539062,87.8112207448865,2521.77221679688,2530.83911132812,2530.83911132812,27.5677047830149,10.6214599609375,2.2708345570959,0.422971816089632,0.08980712832464,"Clearwater","Canada","7030022240","Saskatchewan - Nelson","ICESat2",54.1506652832031,-100.911575317383,7020021430,570,"Clearwater","Canada","North America","CanVec",1,0,283.92,148.48,2.49,2471.63,0,3,8.7,0.325,88021.1,257,1.35,649.6,-100.911579,54.150665
581,5,32,"1993","2024",10,4505.82452476188,4510.5293838292,4495.14721679688,313.331400809927,4293.58312988281,4143.85705566406,4330.09594726562,276.309366258286,-212.241394879067,-366.672328165133,-4.7103786157825,-8.12925262120448,"Cumberland","Canada","7030022240","Saskatchewan - Nelson","ICESat2",53.958065032959,-102.381072998047,7020021430,581,"Cumberland","Canada","North America","CanVec",1,0,418.81,386.93,5.33,4738.3,0,3,11.3,45.856,1195.9,263,1.55,19771.2,-102.381075,53.958065
600,4,32,"1993","2024",6,2933.2888229658,2949.9767168153,2958.37170410156,98.45563154541,2871.02628580729,2823.623046875,2823.623046875,88.4385322969754,-62.2625371585104,-126.353669940301,-2.12261870263283,-4.28320905789074,"Nichicun","Canada","7030024600","Hudson Bay Coast","ICESat2",53.2181167602539,-70.8635406494141,7020024600,600,"Nichicun","Canada","North America","CanVec",1,0,282.47,1258.52,21.12,3077.47,0,3,10.9,126.048,282.6,527,1.64,5649.9,-70.863542,53.218116
604,5,32,"1993","2024",14,14390.4033203125,14598.4326649913,14610.1865234375,1029.03968995869,14636.5949358259,14672.9269670759,14720.5600585938,130.61362797818,246.191615513393,74.4943020846349,1.71080413824042,0.510289726261374,"Sandy","Canada","7030022250","Hudson Bay Coast","ICESat2",53.0876693725586,-92.5510406494141,7020021430,604,"Sandy","Canada","North America","CanVec",1,0,483.51,821.85,10.54,14487.9,0,3,30,112.37,1492.2,272,3.49,22439.5,-92.551042,53.087669
605,5,32,"1993","2024",8,605.938367083356,618.869260988035,617.305908203125,64.1596146189521,634.076232910156,632.726150512695,634.241821289062,8.4101323669137,28.1378658268002,13.8568895246599,4.64368446616773,2.23906572812117,"","Canada","7030022250","Hudson Bay Coast","ICESat2",53.0640907287598,-91.892707824707,7020021430,605,NA,"Canada","North America","CanVec",1,0,156.74,217.98,4.91,618.46,0,3,3.9,101.735,70.4,284,0.78,11702,-91.892708,53.064091
613,5,32,"1993","2024",5,2746.83634191615,2761.34833089814,2762.87622070312,104.898599256553,2738.33935546875,2715.89653320312,2732.38208007812,52.9738635551553,-8.49698644739965,-45.4517976950146,-0.30933719340091,-1.64600015095637,"","Canada","7030022250","Hudson Bay Coast","ICESat2",52.8979988098145,-89.0027084350586,7020021430,613,NA,"Canada","North America","CanVec",1,0,273.17,811.07,13.84,2895.93,0,3,10.6,106.357,315.1,239,1.61,11461.3,-89.002709,52.897999
614,5.5,32,"1993","2024",5,1355.67369069485,1350.26002431705,1343.30847167969,38.3208031449045,1350.75495605469,1350.75495605469,1383.38659667969,47.0149047077566,-4.9187346401593,0.494931737634488,-0.362825853590049,0.0366545501400605,"Red Deer","Canada","7030022240","Saskatchewan - Nelson","ICESat2",52.8854293823242,-101.187080383301,7020021430,614,"Red Deer","Canada","North America","CanVec",1,0,260.08,169.19,2.96,1374.73,0,3,5.3,20.486,776.7,259,0.89,13968.7,-101.187084,52.885431
617,4,32,"1993","2024",6,3515.35269278067,3563.96047634549,3564.68640136719,195.55915394897,3377.20365397135,3324.4365234375,3324.4365234375,129.252544998777,-138.149038809317,-239.523952907986,-3.92987705310559,-6.72072416340588,"Joseph","Canada","7030029460","Atlantic Ocean Seaboard","ICESat2",52.6636161804199,-64.953254699707,7020024600,617,"Joseph","Canada","North America","CanVec",1,0,377.75,941.99,13.67,3810.79,0,3,10.1,135.693,325,505,1.43,6672.2,-64.953251,52.663618
618,5,32,"1993","2024",3,1693.04249275771,1686.90601487128,1686.48559570312,35.4504920416605,1639.63688151042,1615.634765625,1615.634765625,59.9022087255266,-53.4056112472908,-71.2712492462772,-3.15441647068771,-4.22496858852659,"Swan","Canada","7030022240","Saskatchewan - Nelson","ICESat2",52.6422653198242,-100.749145507812,7020021430,618,"Swan","Canada","North America","CanVec",1,0,307.92,182.98,2.94,1696.56,0,3,5.5,12.112,1621.2,257,0.89,10035.2,-100.749145,52.642265
