"site_no","level_long_term_mean","level_long_term_mean_smooth","level_long_term_median","level_long_term_sd","level_2024_mean","level_2024_mean_smooth","level_2024_median","level_2024_sd","level_anomaly_volume","level_anomaly_volume_smooth","level_anomaly_percent","level_anomaly_percent_smooth","latitude","longitude","Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","ID","HYBAS_ID"
"005059",337.153761755486,337.154921630094,337.58,2.35663127407089,339.898787878788,339.906666666667,339.8,0.41037907457433,2.74502612330195,2.75174503657263,0.814176329817352,0.81616635559355,11.37,-318.31,15812,NA,"Ethiopia","Africa","SWBD",1,0,34.59,44.46,2.13,990.71,0,3,28.6,137.772,83.2,339,6.86,66894.3,41.642337,11.465998,15812,1020000010
"005065",1246.10928725702,1246.11835853132,1246.46,2.02005618240566,1248.09,1248.066,1248.12,0.463255741845635,1.98071274298059,1.9476414686826,0.158951767973787,0.156296667595693,-28.87,-334.05,183764,NA,"South Africa","Africa","SWBD",2,4224,9.19,45.61,4.24,75.5,75.5,2,8.2,4.946,176.7,1249,0.86,6558.1,25.957774,-28.883702,183764,1020011530
"005169",279.329887640449,279.204906367041,280.31,9.55369800004426,270.017941176471,269.961470588235,269.01,3.08193247070904,-9.31194646397887,-9.24343577880592,-3.33367350792233,-3.31062798970107,37.49,-331.4,1369359,NA,"Turkey","Asia","SWBD",1,0,0.63,4.75,1.69,5.79,0,3,9.2,21.355,3.1,275,12.67,2749.8,28.60533,37.500135,1369359,2020000010
"005232",661.115375,660.96175,669.325,19.6782657628309,627.219142857143,627.237142857143,627.3,2.7354087461298,-33.8962321428571,-33.7246071428573,-5.12712809664381,-5.10235382650468,32.7,-5.85000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020027430
"005244",194.878565891473,194.87480620155,194.84,0.434574658457803,194.676486486486,194.703783783784,194.63,0.271868189224691,-0.202079404986392,-0.171022417766579,-0.10369503904238,-0.0877601477071892,63.86,-152.33,3567,"Lake Minchumina","United States of America","North America","NHD",1,0,50.53,68.79,2.73,1591.59,0,3,31.5,13.42,1372.7,177,6.88,1625.1,-152.11875,63.897917,3567,8020000010
"005382",193.877995642702,193.906666666667,194.73,7.86443602888235,197.167142857143,197.184285714286,194.82,5.41790526670517,3.28914721444133,3.27761904761905,1.6965036199894,1.69030756082947,14.8,-281.1,178976,NA,"India","Asia","SWBD",1,0,1.07,9.24,2.52,6,0,3,5.6,0.145,479.2,186,3.7,38.4,78.895632,14.791858,178976,4020024190
"005445",30.9891232227488,30.9835781990521,30.995,0.832565755811041,29.5322222222222,29.5152777777778,29.075,1.32819342634188,-1.45690100052659,-1.46830042127436,-4.70133017334642,-4.73896336905102,12.93,-13.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020021940
"005484",1.46063291139241,1.44491561181435,1.46,0.360490064978741,1.43571428571429,1.41114285714286,1.38,0.31568120287521,-0.0249186256781193,-0.033772754671489,-1.70601562403278,-2.33735135777801,45.62,-330.8,14203,NA,"Ukraine","Europe","SWBD",1,0,51.52,71.99,2.83,382.68,0,3,7.4,2.591,1709.4,-1,1.95,1518.8,29.151912,45.485825,14203,2020003440
"005582",392.499409499358,392.497548138639,392.54,0.307770255284979,393.186857142857,393.187428571429,393.15,0.225880908608829,0.687447643499013,0.689880432789323,0.175146159933302,0.175766813337046,8.68,-330.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020034170
"005620",132.017081081081,132.028216216216,131.91,0.88047301943634,132.175555555556,132.229444444444,132.27,0.819391566763132,0.158474474474474,0.201228228228246,0.12004088651009,0.152413047752386,60.4,-149.45,4577,"Kenai Lake","United States of America","North America","NHD",1,0,56.16,89.92,3.39,4208.21,0,3,74.9,82.857,587.8,124,14.27,1640.9,-149.83073,60.492016,4577,8020000010
"005778",1086.19933628319,1086.18159292035,1086.04,0.515181927879509,1086.20606060606,1086.17060606061,1086.13,0.409244268392503,0.00672432287478841,-0.0109868597478453,0.000619068954488414,-0.0010115122387874,-11.52,-337.96,16128,NA,"Angola","Africa","SWBD",1,0,12.14,26.44,2.14,12.14,0,3,1,2.441,57.5,1083,0.37,219.4,22.096385,-11.544673,16128,1020011530
"005809",208.475831578947,208.508589473684,209.39,6.80604440137702,196.071764705882,196.255,196.735,1.54606728966469,-12.404066873065,-12.2535894736842,-5.94988242959365,-5.87677922747194,34.12,-4.67000000000002,15000,NA,"Morocco","Africa","SWBD",2,2946,33.8,66.26,3.21,1270,1270,2,37.6,9.536,1541.4,202,5.23,3625,-4.747964,34.159808,15000,1020027430
"005826",803.599941860465,803.65265503876,804.21,6.87100463227958,809.490625,809.4890625,808.975,2.9717725106136,5.89068313953487,5.83640746124036,0.733036780203963,0.726235074897982,43.38,-117.32,9050,"Lake Owyhee","United States of America","North America","SWBD",2,386,40.49,168.84,7.49,881.9,881.9,2,21.8,32.208,316.9,810,10.72,26949,-117.238522,43.639982,9050,7020014250
"006010",194.890630182421,194.880696517413,195.12,0.778212194809764,194.8546875,194.80375,195.015,0.549627348095229,-0.0359426824212221,-0.0769465174129209,-0.0184424886858743,-0.039483909277821,25.39,-281.34,15480,NA,"India","Asia","GRanD",2,4816,14.8,49.05,3.6,78.8,78.8,2,5.3,339.002,2.7,196,1.25,27008,78.781221,25.513835,15480,4020024190
"006012",320.668389261745,320.680022371365,321,1.88609797230686,321.263793103448,321.286206896552,321.47,1.19960831045895,0.59540384170333,0.606184525187075,0.185675876276452,0.189030960115464,24.96,-281.54,15495,NA,"India","Asia","SWBD",2,4833,15.14,47.6,3.45,130,130,2,8.6,10.359,145.2,316,1.12,962,78.521474,24.947541,15495,4020024190
