"site_no","Hylak_id","level_long_term_mean","level_long_term_mean_smooth","level_long_term_median","level_long_term_sd","level_2024_mean","level_2024_mean_smooth","level_2024_median","level_2024_sd","level_anomaly","level_anomaly_smooth","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","ID","HYBAS_ID"
"000253",1166,64.4198331015299,64.4207232267038,64.35,0.406327015364838,64.3594117647059,64.3476470588235,64.295,0.242023554782419,-0.060421336824021,-0.073076167880231,"Bolshoy Uvat","Russia","Europe","SWBD",1,0,190.09,67.68,1.38,759.66,0,3,4,1.274,6901.4,59,0.75,516.4,70.676806,57.567845,1166,3020000010
"000254",49,468.344020100503,468.346314907873,468.44,1.42407850327428,468.456551724138,468.478620689655,468.75,0.928398297615186,0.112531623635391,0.13230578178252,"Michikamau","Canada","North America","Other",2,2000,5814.1,9174.21,33.94,32320,32320,2,5.6,892.163,419.3,466,-1,45495.1,-64.261491,53.648792,49,7020024600
"000258",31,12.5727260458839,12.591632928475,12.57,0.444613852180097,12.5894444444444,12.5975,12.5,0.477397375326105,0.0167183985605028,0.00586707152496579,"Iliamna","United States of America","North America","NHD",1,0,2634.62,1006.79,5.53,115310,0,1,43.8,354.811,3761.5,13,-1,16869.4,-155.884538,59.331889,31,8020000010
"000264",23,111.327803881512,111.334392236977,111.42,0.698528235398928,111.828333333333,111.821944444444,111.755,0.448346167279576,0.500529451821592,0.487552207467928,"Amadjuak","Canada","North America","CanVec",1,0,2994.94,1924.13,9.92,74381.85,0,1,24.8,251.159,3427.7,91,-1,19638.2,-71.735126,65.407803,23,8020032840
"000266",57,322.318869565217,322.325456521739,322.37,0.418454881516373,322.328571428571,322.344,322.23,0.289798539122112,0.00970186335405288,0.0185434782608809,"Woods","Canada","North America","SWBD",1,0,3472.81,5177.27,24.78,37000,0,1,10.7,449.584,952.5,320,-1,69313.9,-94.518399,49.764368,57,7020021430
"000268",104,88.6814225053079,88.7396815286624,88.77,0.465956684411494,89.0534285714286,89.1571428571429,89.13,0.427364996620142,0.372006066120719,0.417461328480442,"Vattern","Sweden","Europe","ECRINS",1,0,1888.04,644.78,4.19,74000,0,1,39.2,33.7,25414.9,88,-1,6369.1,15.039006,58.532267,104,2020024230
"000269",144,49.6084281282316,49.6222543950362,47.25,5.30919617138873,42.7664705882353,42.7764705882353,42.925,1.01082289415662,-6.84195753999635,-6.8457838068009,"Buhayrat ath Tharthar","Iraq","Asia","SWBD",3,4472,1698.86,474.67,3.25,43500,43500,2,25.6,43.226,11647.4,44,-1,27149.5,43.460376,33.689627,144,2020071190
"000270",1,-26.7118303145853,-26.7117635843661,-26.59,0.451626075864492,-28.4731428571429,-28.4731428571429,-28.51,0.132593395021628,-1.76131254255754,-1.76137927277679,"Caspian Sea","Russia","Europe","SWBD",1,0,377001.91,15829.37,7.27,75600000,0,1,200.5,8110.642,107883,-29,-1,1404108,47.717708,45.591934,1,2020065840
"000274",1631,9.86941451990632,9.79871194379391,9.68,1.18552137222997,9.80916666666667,9.79166666666667,9.465,1.34546938171883,-0.0602478532396571,-0.00704527712724534,"Kinkony","Madagascar","Africa","SWBD",1,0,154.74,291.61,6.61,1029.16,0,3,6.7,80.465,148,12,1.23,2789.5,45.904513,-16.094726,1631,1020035180
"000275",14,-27.6513295346629,-27.6515764482431,-27.32,0.857223909732894,-29.9537142857143,-29.9517142857143,-29.86,0.223765708804935,-2.30238475105142,-2.30013783747117,"Kara-Bogaz-Gol","Turkmenistan","Asia","SWBD",1,0,18666.8,961.87,1.99,1885347,0,1,101,0,-1,-30,-1,25529.4,52.912913,41.056625,14,2020065840
